user_id,data_source,age,gender_encoded,screen_time_hours,social_media_hours,gaming_hours,study_work_hours,sleep_hours,notifications_per_day,stress_level_norm,anxiety_score_norm,depression_score_norm,happiness_score_norm,focus_score_norm,productivity_score_norm,digital_dependence_norm,sleep_quality_norm,physical_activity_days,phone_unlocks,app_opens_per_day,weekend_screen_time,battery_drain_percent,addiction_severity,high_risk_flag,device_type_encoded,region,income_level,education_level,daily_role
34,mobile_usage,38,1,6.64,0.55,2.55,3.083333333,8.2,9,0.5,0.4,0.35,0.83,0.8425,0.6013,0.1953,0.6,4,57,43,8.3,27,0,0,0,Unknown,Unknown,Unknown,Unknown
35,mobile_usage,34,1,11.85,2.05,2.383,3.7,7.2,127,0.5,0.4,0.35,0.805,0.861,0.6615,0.3485,0.4571,4,146,140,14.81,32,0,0,1,Unknown,Unknown,Unknown,Unknown
36,mobile_usage,41,0,4.04,0.683333333,2.967,2.016666667,8.5,122,0.5,0.4,0.35,0.8375,0.8105,0.4971,0.1188,0.6429,4,81,93,5.05,36,0,0,0,Unknown,Unknown,Unknown,Unknown
37,mobile_usage,24,1,8.56,3.066666667,1.417,2.2,9.5,298,0.5,0.4,0.35,0.8625,0.816,0.515,0.2518,0.7857,4,188,180,10.7,11,0,0,1,Unknown,Unknown,Unknown,Unknown
38,mobile_usage,37,0,9.5,1.583333333,0.467,2.7,7.5,163,0.5,0.4,0.35,0.8125,0.831,0.5638,0.2794,0.5,4,141,148,11.88,33,0,0,1,Unknown,Unknown,Unknown,Unknown
39,mobile_usage,29,1,4,2.666666667,1.133,3.566666667,8.4,232,0.5,0.4,0.35,0.835,0.857,0.6485,0.1176,0.6286,4,125,157,5,12,0,0,1,Unknown,Unknown,Unknown,Unknown
40,mobile_usage,39,0,9.15,3.383333333,0.767,3.666666667,8.5,220,0.5,0.4,0.35,0.8375,0.86,0.6583,0.2691,0.6429,4,161,179,11.44,5,0,0,0,Unknown,Unknown,Unknown,Unknown
41,mobile_usage,39,1,5.36,2.266666667,1.55,3.9,6.3,188,0.5,0.4,0.35,0.7825,0.867,0.6811,0.1576,0.3286,4,118,139,6.7,7,0,0,0,Unknown,Unknown,Unknown,Unknown
42,mobile_usage,43,1,8.14,2.733333333,2.383,2.416666667,5.4,19,0.5,0.4,0.35,0.76,0.8225,0.5361,0.2394,0.2,4,73,57,10.18,28,0,0,0,Unknown,Unknown,Unknown,Unknown
43,mobile_usage,22,0,8.15,2.316666667,2.917,3.966666667,5.2,161,0.5,0.4,0.35,0.755,0.869,0.6876,0.2397,0.1714,4,130,139,10.19,27,0,0,1,Unknown,Unknown,Unknown,Unknown
44,mobile_usage,44,0,7.13,3.783333333,1.4,1.25,5.5,140,0.5,0.4,0.35,0.7625,0.7875,0.4221,0.2097,0.2143,4,113,121,8.91,12,0,0,0,Unknown,Unknown,Unknown,Unknown
45,mobile_usage,40,0,2.45,0.433333333,0.633,0.133333333,5.6,265,0.5,0.4,0.35,0.765,0.754,0.313,0.0721,0.2286,4,126,168,3.58,7,0,0,0,Unknown,Unknown,Unknown,Unknown
46,mobile_usage,40,1,10.27,1.883333333,1.65,1.216666667,5.2,161,0.5,0.4,0.35,0.755,0.7865,0.4189,0.3021,0.1714,4,147,151,12.84,37,0,0,0,Unknown,Unknown,Unknown,Unknown
47,mobile_usage,28,0,4.87,2.833333333,0.533,4.2,9.3,51,0.5,0.4,0.35,0.8575,0.876,0.7104,0.1432,0.7571,4,59,57,6.09,32,0,0,1,Unknown,Unknown,Unknown,Unknown
48,mobile_usage,27,1,3.46,2.433333333,1.667,3.816666667,8.5,177,0.5,0.4,0.35,0.8375,0.8645,0.6729,0.1018,0.6429,4,98,122,4.32,12,0,0,1,Unknown,Unknown,Unknown,Unknown
49,mobile_usage,42,1,1.93,0.866666667,0.367,0.1,4.3,134,0.5,0.4,0.35,0.7325,0.753,0.3098,0.0568,0.0429,4,69,88,3.58,38,0,0,0,Unknown,Unknown,Unknown,Unknown
50,mobile_usage,42,0,7.7,3.083333333,0.15,2.883333333,5.6,99,0.5,0.4,0.35,0.765,0.8365,0.5817,0.2265,0.2286,4,101,100,9.62,39,0,0,0,Unknown,Unknown,Unknown,Unknown
51,mobile_usage,27,0,8.61,0.8,1.133,2.333333333,4.1,119,0.5,0.4,0.35,0.7275,0.82,0.528,0.2532,0.0143,4,116,117,10.76,36,0,0,0,Unknown,Unknown,Unknown,Unknown
52,mobile_usage,42,1,1.67,3.833333333,1.65,2.783333333,7,247,0.5,0.4,0.35,0.8,0.8335,0.572,0.0491,0.4286,4,112,152,3.58,28,0,0,0,Unknown,Unknown,Unknown,Unknown
53,mobile_usage,31,1,6.88,2.983333333,0.55,2.816666667,6.9,296,0.5,0.4,0.35,0.7975,0.8345,0.5752,0.2024,0.4143,4,173,180,8.6,18,0,0,1,Unknown,Unknown,Unknown,Unknown
54,mobile_usage,24,0,3.88,0.583333333,2.983,4.7,9,286,0.5,0.4,0.35,0.85,0.891,0.7593,0.1141,0.7143,4,145,180,4.85,36,0,0,1,Unknown,Unknown,Unknown,Unknown
55,mobile_usage,35,0,8.27,1.8,2.283,2.016666667,5.8,287,0.5,0.4,0.35,0.77,0.8105,0.4971,0.2432,0.2571,4,181,180,10.34,20,0,0,1,Unknown,Unknown,Unknown,Unknown
56,mobile_usage,32,0,3.33,0.983333333,2.433,3.216666667,8.9,73,0.5,0.4,0.35,0.8475,0.8465,0.6143,0.0979,0.7,4,56,61,4.16,8,0,0,1,Unknown,Unknown,Unknown,Unknown
57,mobile_usage,44,1,8.75,2.7,1.583,0.066666667,9.8,152,0.5,0.4,0.35,0.87,0.752,0.3065,0.2574,0.8286,4,131,137,10.94,25,0,0,0,Unknown,Unknown,Unknown,Unknown
58,mobile_usage,37,1,5.56,2.683333333,0,0.466666667,4.5,15,0.5,0.4,0.35,0.7375,0.764,0.3456,0.1635,0.0714,4,50,40,6.95,18,0,0,0,Unknown,Unknown,Unknown,Unknown
59,mobile_usage,15,1,11.34,0.366666667,1.133,2.733333333,8.8,258,0.5,0.4,0.35,0.845,0.832,0.5671,0.3335,0.6857,4,194,180,14.18,35,0,0,0,Unknown,Unknown,Unknown,Unknown
60,mobile_usage,17,1,2.94,1.15,0.05,2.25,7.5,42,0.5,0.4,0.35,0.8125,0.8175,0.5199,0.0865,0.5,4,40,41,3.68,22,0,0,1,Unknown,Unknown,Unknown,Unknown
61,mobile_usage,31,1,5.08,2.4,0.25,2.4,6.9,138,0.5,0.4,0.35,0.7975,0.822,0.5345,0.1494,0.4143,4,96,109,6.35,11,0,0,0,Unknown,Unknown,Unknown,Unknown
62,mobile_usage,19,1,2.69,1.1,0.383,3.6,6.5,204,0.5,0.4,0.35,0.7875,0.858,0.6518,0.0791,0.3571,4,103,133,3.58,14,0,0,1,Unknown,Unknown,Unknown,Unknown
63,mobile_usage,33,0,11.21,0.75,1.317,2.183333333,8.7,27,0.5,0.4,0.35,0.8425,0.8155,0.5133,0.3297,0.6714,4,100,78,14.01,11,0,0,1,Unknown,Unknown,Unknown,Unknown
64,mobile_usage,21,1,10.71,3.033333333,0.017,4.85,7.8,222,0.5,0.4,0.35,0.82,0.8955,0.7739,0.315,0.5429,4,174,180,13.39,37,0,0,0,Unknown,Unknown,Unknown,Unknown
65,mobile_usage,19,1,4.21,0.483333333,2.117,1.15,8.8,145,0.5,0.4,0.35,0.845,0.7845,0.4124,0.1238,0.6857,4,92,108,5.26,27,0,0,0,Unknown,Unknown,Unknown,Unknown
66,mobile_usage,30,1,8.43,1.233333333,2.65,4.183333333,9.4,108,0.5,0.4,0.35,0.86,0.8755,0.7088,0.2479,0.7714,4,111,110,10.54,25,0,0,0,Unknown,Unknown,Unknown,Unknown
67,mobile_usage,16,0,10.08,0.283333333,1.383,4.566666667,7.7,214,0.5,0.4,0.35,0.8175,0.887,0.7462,0.2965,0.5286,4,166,180,12.6,23,0,0,1,Unknown,Unknown,Unknown,Unknown
68,mobile_usage,37,1,7.33,2.55,2.517,3.016666667,9.9,115,0.5,0.4,0.35,0.8725,0.8405,0.5948,0.2156,0.8429,4,105,108,9.16,23,0,0,0,Unknown,Unknown,Unknown,Unknown
69,mobile_usage,40,1,7.06,2.516666667,2.317,2.766666667,7.6,108,0.5,0.4,0.35,0.815,0.833,0.5703,0.2076,0.5143,4,100,102,8.82,33,0,0,1,Unknown,Unknown,Unknown,Unknown
70,mobile_usage,26,0,4.04,3.55,2.95,1.5,7.8,175,0.5,0.4,0.35,0.82,0.795,0.4466,0.1188,0.5429,4,102,124,5.05,22,0,0,0,Unknown,Unknown,Unknown,Unknown
71,mobile_usage,30,1,2.48,2.066666667,2.7,3.35,7.3,137,0.5,0.4,0.35,0.8075,0.8505,0.6273,0.0729,0.4714,4,75,94,3.58,6,0,0,1,Unknown,Unknown,Unknown,Unknown
72,mobile_usage,38,1,10.92,3.733333333,2.05,0.3,4.5,297,0.5,0.4,0.35,0.7375,0.759,0.3293,0.3212,0.0714,4,206,180,13.65,5,0,0,1,Unknown,Unknown,Unknown,Unknown
73,mobile_usage,21,1,10.95,2.533333333,0.533,0.633333333,8.4,131,0.5,0.4,0.35,0.835,0.769,0.3619,0.3221,0.6286,4,140,137,13.69,9,0,0,0,Unknown,Unknown,Unknown,Unknown
74,mobile_usage,38,1,8.15,1.683333333,2.667,2.083333333,7.3,110,0.5,0.4,0.35,0.8075,0.8125,0.5036,0.2397,0.4714,4,109,109,10.19,24,0,0,1,Unknown,Unknown,Unknown,Unknown
75,mobile_usage,33,1,5.06,1.783333333,2.967,2.866666667,6.7,96,0.5,0.4,0.35,0.7925,0.836,0.5801,0.1488,0.3857,4,79,84,6.32,15,0,0,1,Unknown,Unknown,Unknown,Unknown
76,mobile_usage,14,0,5.17,1.25,2.833,2.333333333,9.5,291,0.5,0.4,0.35,0.8625,0.82,0.528,0.1521,0.7857,4,158,180,6.46,6,0,0,0,Unknown,Unknown,Unknown,Unknown
77,mobile_usage,32,0,9.12,0.683333333,1.667,4.016666667,5.8,55,0.5,0.4,0.35,0.77,0.8705,0.6925,0.2682,0.2571,4,95,83,11.4,7,0,0,1,Unknown,Unknown,Unknown,Unknown
78,mobile_usage,40,0,10.92,3.733333333,0.183,3.65,7.1,33,0.5,0.4,0.35,0.8025,0.8595,0.6567,0.3212,0.4429,4,101,81,13.65,27,0,0,0,Unknown,Unknown,Unknown,Unknown
79,mobile_usage,27,1,10.81,3.333333333,1.1,2.083333333,8.2,218,0.5,0.4,0.35,0.83,0.8125,0.5036,0.3179,0.6,4,174,180,13.51,16,0,0,1,Unknown,Unknown,Unknown,Unknown
80,mobile_usage,40,1,9.69,1.583333333,1.067,0.95,8.8,271,0.5,0.4,0.35,0.845,0.7785,0.3928,0.285,0.6857,4,186,180,12.11,24,0,0,0,Unknown,Unknown,Unknown,Unknown
81,mobile_usage,19,1,8.24,1,2.667,2.45,6.8,261,0.5,0.4,0.35,0.795,0.8235,0.5394,0.2424,0.4,4,170,180,10.3,9,0,0,0,Unknown,Unknown,Unknown,Unknown
82,mobile_usage,24,0,2.38,2.7,2.783,0,9.1,105,0.5,0.4,0.35,0.8525,0.75,0.3,0.07,0.7286,4,61,74,3.58,34,0,0,1,Unknown,Unknown,Unknown,Unknown
83,mobile_usage,41,1,3.2,3.25,1.217,3.15,8.6,114,0.5,0.4,0.35,0.84,0.8445,0.6078,0.0941,0.6571,4,71,84,4,13,0,0,1,Unknown,Unknown,Unknown,Unknown
84,mobile_usage,20,1,10.93,1.2,0.7,3.166666667,4.4,186,0.5,0.4,0.35,0.735,0.845,0.6094,0.3215,0.0571,4,162,169,13.66,38,0,0,1,Unknown,Unknown,Unknown,Unknown
85,mobile_usage,27,0,7.87,3.316666667,0.717,1.933333333,4.3,5,0.5,0.4,0.35,0.7325,0.808,0.4889,0.2315,0.0429,4,65,47,9.84,39,0,0,1,Unknown,Unknown,Unknown,Unknown
86,mobile_usage,15,1,1.6,2.233333333,0.467,2.216666667,7.7,59,0.5,0.4,0.35,0.8175,0.8165,0.5166,0.0471,0.5286,4,36,43,3.58,26,0,0,1,Unknown,Unknown,Unknown,Unknown
87,mobile_usage,26,0,2.57,2.65,2.333,0.95,6.1,153,0.5,0.4,0.35,0.7775,0.7785,0.3928,0.0756,0.3,4,82,103,3.58,28,0,0,0,Unknown,Unknown,Unknown,Unknown
88,mobile_usage,29,0,8.47,1.116666667,0.183,0.716666667,5.3,141,0.5,0.4,0.35,0.7575,0.7715,0.37,0.2491,0.1857,4,124,129,10.59,21,0,0,1,Unknown,Unknown,Unknown,Unknown
89,mobile_usage,16,0,1.55,1.116666667,1.567,2.866666667,7.5,206,0.5,0.4,0.35,0.8125,0.836,0.5801,0.0456,0.5,4,95,128,3.58,14,0,0,0,Unknown,Unknown,Unknown,Unknown
90,mobile_usage,30,1,3.19,1.583333333,0.75,2.65,6,121,0.5,0.4,0.35,0.775,0.8295,0.5589,0.0938,0.2857,4,74,88,3.99,34,0,0,0,Unknown,Unknown,Unknown,Unknown
91,mobile_usage,20,1,7.26,0.966666667,2.15,2.866666667,7.2,158,0.5,0.4,0.35,0.805,0.836,0.5801,0.2135,0.4571,4,121,132,9.07,27,0,0,1,Unknown,Unknown,Unknown,Unknown
92,mobile_usage,16,1,8.76,3.15,0.567,2.466666667,6.8,295,0.5,0.4,0.35,0.795,0.824,0.541,0.2576,0.4,4,188,180,10.95,36,0,0,0,Unknown,Unknown,Unknown,Unknown
93,mobile_usage,14,1,8.35,2.983333333,1.333,1.316666667,7.5,67,0.5,0.4,0.35,0.8125,0.7895,0.4287,0.2456,0.5,4,94,86,10.44,21,0,0,0,Unknown,Unknown,Unknown,Unknown
94,mobile_usage,42,1,3.85,1.316666667,1.483,3.533333333,6.4,248,0.5,0.4,0.35,0.785,0.856,0.6453,0.1132,0.3429,4,130,165,4.81,21,0,0,0,Unknown,Unknown,Unknown,Unknown
95,mobile_usage,18,1,8.98,0.4,0.117,3.366666667,8.2,29,0.5,0.4,0.35,0.83,0.851,0.629,0.2641,0.6,4,83,67,11.23,18,0,0,0,Unknown,Unknown,Unknown,Unknown
96,mobile_usage,34,1,3.99,1.05,1.533,4.183333333,5.1,94,0.5,0.4,0.35,0.7525,0.8755,0.7088,0.1174,0.1571,4,70,77,4.99,13,0,0,1,Unknown,Unknown,Unknown,Unknown
97,mobile_usage,22,0,4.92,3.283333333,2.55,3.8,8.2,79,0.5,0.4,0.35,0.83,0.864,0.6713,0.1447,0.6,4,71,73,6.15,6,0,0,0,Unknown,Unknown,Unknown,Unknown
98,mobile_usage,16,1,9.34,1.833333333,1.483,2.716666667,6.5,298,0.5,0.4,0.35,0.7875,0.8315,0.5655,0.2747,0.3571,4,194,180,11.68,29,0,0,1,Unknown,Unknown,Unknown,Unknown
99,mobile_usage,34,0,8.32,3.9,2.683,3.766666667,9.2,214,0.5,0.4,0.35,0.855,0.863,0.6681,0.2447,0.7429,4,152,171,10.4,13,0,0,1,Unknown,Unknown,Unknown,Unknown
100,mobile_usage,41,1,10.42,0.283333333,1.9,2.433333333,7.1,21,0.5,0.4,0.35,0.8025,0.823,0.5378,0.3065,0.4429,4,92,71,13.02,26,0,0,0,Unknown,Unknown,Unknown,Unknown
101,mobile_usage,43,1,8.4,1.033333333,1.733,0.316666667,9.8,132,0.5,0.4,0.35,0.87,0.7595,0.3309,0.2471,0.8286,4,120,124,10.5,8,0,0,1,Unknown,Unknown,Unknown,Unknown
102,mobile_usage,30,1,7.47,1.15,2.233,0.766666667,7.6,255,0.5,0.4,0.35,0.815,0.773,0.3749,0.2197,0.5143,4,162,180,9.34,30,0,0,1,Unknown,Unknown,Unknown,Unknown
103,mobile_usage,38,0,2.48,1.95,0.95,3.866666667,5.3,183,0.5,0.4,0.35,0.7575,0.866,0.6778,0.0729,0.1857,4,93,120,3.58,33,0,0,1,Unknown,Unknown,Unknown,Unknown
104,mobile_usage,24,0,5.36,0.233333333,1.883,0.216666667,8.9,186,0.5,0.4,0.35,0.8475,0.7565,0.3212,0.1576,0.7,4,117,138,6.7,38,0,0,0,Unknown,Unknown,Unknown,Unknown
105,mobile_usage,14,0,4.28,1.866666667,1.233,2.366666667,6.1,156,0.5,0.4,0.35,0.7775,0.821,0.5313,0.1259,0.3,4,97,115,5.35,27,0,0,1,Unknown,Unknown,Unknown,Unknown
106,mobile_usage,22,0,4.06,3.416666667,2.6,0,6.1,29,0.5,0.4,0.35,0.7775,0.75,0.3,0.1194,0.3,4,44,40,5.07,15,0,0,1,Unknown,Unknown,Unknown,Unknown
107,mobile_usage,42,1,11.72,0.25,1.983,0.883333333,4.2,184,0.5,0.4,0.35,0.73,0.7765,0.3863,0.3447,0.0286,4,167,172,14.65,10,0,0,1,Unknown,Unknown,Unknown,Unknown
108,mobile_usage,16,0,5.63,1.966666667,2.717,4.3,7.3,202,0.5,0.4,0.35,0.8075,0.879,0.7202,0.1656,0.4714,4,126,149,7.04,22,0,0,0,Unknown,Unknown,Unknown,Unknown
109,mobile_usage,26,1,10.87,3.883333333,0.333,2.383333333,7.2,165,0.5,0.4,0.35,0.805,0.8215,0.5329,0.3197,0.4571,4,153,157,13.59,25,0,0,1,Unknown,Unknown,Unknown,Unknown
110,mobile_usage,43,1,8.13,2.083333333,2.717,0.183333333,6.1,181,0.5,0.4,0.35,0.7775,0.7555,0.3179,0.2391,0.3,4,137,150,10.16,38,0,0,0,Unknown,Unknown,Unknown,Unknown
111,mobile_usage,28,0,9.85,1.716666667,2.283,3.716666667,9.4,289,0.5,0.4,0.35,0.86,0.8615,0.6632,0.2897,0.7714,4,194,180,12.31,21,0,0,0,Unknown,Unknown,Unknown,Unknown
112,mobile_usage,27,0,6.78,0.933333333,1.667,4.516666667,4.8,67,0.5,0.4,0.35,0.745,0.8855,0.7413,0.1994,0.1143,4,81,77,8.48,29,0,0,0,Unknown,Unknown,Unknown,Unknown
113,mobile_usage,20,0,7.56,1.8,2.517,2.583333333,6,154,0.5,0.4,0.35,0.775,0.8275,0.5524,0.2224,0.2857,4,122,132,9.45,16,0,0,0,Unknown,Unknown,Unknown,Unknown
114,mobile_usage,26,0,6.67,1.066666667,2.933,0.116666667,5.9,158,0.5,0.4,0.35,0.7725,0.7535,0.3114,0.1962,0.2714,4,117,129,8.34,27,0,0,0,Unknown,Unknown,Unknown,Unknown
115,mobile_usage,35,0,3.55,2.95,1.633,2.016666667,4.6,160,0.5,0.4,0.35,0.74,0.8105,0.4971,0.1044,0.0857,4,92,112,4.44,26,0,0,0,Unknown,Unknown,Unknown,Unknown
116,mobile_usage,40,0,9.09,1.016666667,0.583,2.716666667,6.9,53,0.5,0.4,0.35,0.7975,0.8315,0.5655,0.2674,0.4143,4,94,82,11.36,25,0,0,1,Unknown,Unknown,Unknown,Unknown
117,mobile_usage,37,0,4.45,2.55,1.583,1.483333333,8.1,88,0.5,0.4,0.35,0.8275,0.7945,0.4449,0.1309,0.5857,4,71,76,5.56,31,0,0,0,Unknown,Unknown,Unknown,Unknown
118,mobile_usage,42,0,1.76,0.366666667,2.517,2.25,7.1,181,0.5,0.4,0.35,0.8025,0.8175,0.5199,0.0518,0.4429,4,86,114,3.58,35,0,0,1,Unknown,Unknown,Unknown,Unknown
119,mobile_usage,20,1,8.28,2.05,2.5,3.083333333,4.9,152,0.5,0.4,0.35,0.7475,0.8425,0.6013,0.2435,0.1286,4,127,134,10.35,10,0,0,1,Unknown,Unknown,Unknown,Unknown
120,mobile_usage,33,0,3.36,2.216666667,0.6,2.95,6.3,122,0.5,0.4,0.35,0.7825,0.8385,0.5883,0.0988,0.3286,4,76,90,4.2,31,0,0,0,Unknown,Unknown,Unknown,Unknown
1,lifestyle,40,0,3.54,1.633333333,2.03,0.566666667,9.123799969,561,0.6215,0.365,0.1852,0.8,0.23,0.5968,0.2404,0.5884,7,45,180,4.42,11.3,0,0,0,Asia,High,High School,Part-time/Shift
2,lifestyle,27,1,5.65,2.9,2.03,1.7,8.837516895,393,0.3474,0.1471,0.1481,0.81,0.35,0.5,0.2931,0.477,2,100,180,7.06,18.5,0,0,2,Africa,Lower-Mid,Master,Full-time Employee
